t	(Var=minDt) Max	(Var=minDt) WeightedMean	(Var=minDt) Min
564.0	99.92292776279012	99.67784906035234	99.41093077813079
567.0	150.6800845614385	150.1157003763982	149.48469068638926
570.0	223.62349344856065	222.86605974556514	222.01427139554772
573.0	318.69829078256504	317.8752715035809	317.1498381703863
576.0	390.67046967090596	382.3954816410984	375.28042904789817
579.0	317.9087985462431	303.5000683244778	291.60598180246353
582.0	81.74658534384561	79.46044729834892	77.60524006189755
585.0	14.775619271297437	14.512202622557247	14.296989172381014
588.0	10.585153621257911	10.431630602858649	10.30652191588464
591.0	10.626335800318822	10.519027574688634	10.432046115533826
594.0	13.387122504672632	13.304248621824163	13.237822153822643
597.0	20.902800011777508	20.836096954124166	20.784234993221524
600.0	38.45992088813566	38.42740013293332	38.406999710096315
