t	(Var=A) A	(Var=AB) AB	(Var=ABC) ABC	(Var=AC) AC	(Var=B) B	(Var=BAC) BAC	(Var=BC) BC	(Var=C) C	(Var=CABC) CABC
0.10667702698457951	0.3647762736486743	6.486787158401757E-4	0.0634943826647417	547.1374567498585	0.3647762736486742	0.06349438266474097	547.1374567498581	13177.626075516051	1363.486011113264
0.1080242339448449	0.3607345409304719	6.415309027509784E-4	0.06427654042880077	544.4342818474812	0.3607345409304718	0.06427654042880072	544.4342818474807	13153.24470718137	1378.3790880252175
0.10937144090511028	0.35674692998745144	6.343942401974542E-4	0.0650517039560165	541.7531139800212	0.35674692998745133	0.06505170395601714	541.7531139800208	13129.189321012394	1393.087173813638
0.11071864786537566	0.35281253813215124	6.272721544327921E-4	0.06581991553686481	539.0942500138905	0.35281253813215113	0.06581991553686393	539.09425001389	13105.454501615202	1407.6126792667842
0.11206585482564105	0.3489304819803484	6.201678810997203E-4	0.06658122009966946	536.4579360263375	0.34893048198034826	0.06658122009966887	536.457936026337	13082.034948700102	1421.9580084073243
0.11341306178590643	0.3450998969257317	6.130844738615517E-4	0.06733566122484094	533.8443719202062	0.34509989692573156	0.06733566122484291	533.8443719202057	13058.925473962052	1436.125555441356
0.11476026874617182	0.34131993663252747	6.060248126439334E-4	0.06808328387013209	531.2537156419402	0.34131993663252735	0.06808328387013168	531.2537156419397	13036.120998080254	1450.1177020378752
0.1161074757064372	0.3375897725453473	5.98991611507554E-4	0.06882413841053284	528.6860870330329	0.33758977254534717	0.06882413841052973	528.6860870330324	13013.61654782189	1463.936814921425
0.11745468266670259	0.3339085934155243	5.919874261659921E-4	0.06955827135350151	526.1415713458507	0.3339085934155242	0.06955827135350164	526.1415713458503	12991.407253216343	1477.5852437784379
0.11880188962696797	0.33027560484313523	5.850146611682956E-4	0.07028572909198348	523.6202224656678	0.3302756048431351	0.07028572909198443	523.6202224656673	12969.488344847958	1491.0653193850744
0.12014909658723336	0.3266900288342309	5.780755767614514E-4	0.07100656598385888	521.1220658483116	0.32669002883423076	0.07100656598385445	521.1220658483112	12947.855151247106	1504.3793519659646
0.12149630354749874	0.3231511033725513	5.711722954478721E-4	0.07172083226254565	518.6471012059463	0.3231511033725512	0.0717208322625457	518.6471012059459	12926.503096326302	1517.5296298024534
0.12284351050776413	0.3196580820050939	5.643068082475199E-4	0.07242856945602949	516.1953049658157	0.31965808200509377	0.07242856945603715	516.1953049658152	12905.427696912982	1530.5184180120502
0.12419071746802951	0.3162102334410471	5.574809806872939E-4	0.0731298346214908	513.76663251871	0.316210233441047	0.07312983462148523	513.7666325187096	12884.624560418773	1543.3479574410949
0.1251607065242717	0.3137553505330197	5.525919265185082E-4	0.07363077354097682	512.0322715326326	0.31375535053301956	0.07363077354097478	512.0322715326322	12869.812466769201	1552.4878643130392
0.12613069558051387	0.3113232506657798	5.477249539768779E-4	0.07412840016711923	510.3098360112573	0.3113232506657797	0.07412840016712091	510.30983601125683	12855.137702175762	1561.5471845045086
0.12710068463675606	0.3089136748378994	5.428806480330364E-4	0.07462273577859097	508.5992923832493	0.3089136748378993	0.07462273577859066	508.59929238324884	12840.598710460465	1570.526729654554
0.12781388361092666	0.30715621850025837	5.39333584127178E-4	0.07498411710932373	507.34915421607604	0.30715621850025826	0.07498411710932379	507.3491542160756	12829.994421046338	1577.0786511474596
0.12852708258509726	0.3054107007025789	5.357992869259574E-4	0.07534373744327641	506.10540860387937	0.3054107007025788	0.07534373744327659	506.1054086038789	12819.462100573537	1583.5881973757223
0.12924028155926787	0.3036770222968872	5.322779600217895E-4	0.0757016052772926	504.86803836266824	0.3036770222968871	0.07570160527729247	504.8680383626678	12809.001153201962	1590.0556834348868
0.12995348053343847	0.30195508517708375	5.287697992904238E-4	0.07605772852673828	503.6370253600636	0.30195508517708364	0.07605772852673828	503.63702536006315	12798.610989318193	1596.4814222561258
0.13066667950760907	0.30024479226510115	5.252749930824249E-4	0.07641211446290216	502.41235057086675	0.30024479226510103	0.07641211446290225	502.41235057086635	12788.291025453162	1602.8657245919023
0.13206917437601826	0.2969151213939012	5.184421538954039E-4	0.07710397214641602	500.02245618090274	0.2969151213939011	0.07710397214641626	500.0224561809024	12768.199510741719	1615.300684479905
0.13347166924442744	0.2936293895027427	5.116629480917671E-4	0.07778920090488539	497.656834883919	0.29362938950274253	0.07778920090488525	497.65683488391863	12748.37291252818	1627.5789196548992
0.13487416411283662	0.2903868919031954	5.04938570221698E-4	0.07846785958583093	495.3153163621601	0.2903868919031952	0.07846785958583066	495.31531636215976	12728.80699439035	1639.702718586892
0.1362766589812458	0.28718693813483037	4.982701177193717E-4	0.07914000699504987	492.9977210182605	0.2871869381348302	0.07914000699504985	492.9977210182601	12709.49760500414	1651.674336476487
0.13767915384965498	0.2840288515822526	4.916585959238847E-4	0.0798057015474405	490.703861193328	0.28402885158225244	0.07980570154744052	490.7038611933276	12690.44067586683	1663.4959951755227
0.13908164871806417	0.2809119691311264	4.851049225047737E-4	0.08046500165547456	488.4335421751782	0.28091196913112626	0.08046500165547453	488.4335421751778	12671.632219253026	1675.1698832004663
0.14048414358647335	0.27783564084089546	4.786099316040182E-4	0.08111796560054181	486.1865630921678	0.2778356408408953	0.08111796560054181	486.1865630921673	12653.068326268427	1686.6981558118307
0.14188663845488253	0.27479922962198655	4.721743778666121E-4	0.08176465136281964	483.96271774727563	0.2747992296219864	0.08176465136281964	483.9627177472752	12634.745164929831	1698.0829351402583
0.1432891333232917	0.2718021109178249	4.6579894035811024E-4	0.08240511669606558	481.7617953959034	0.27180211091782475	0.08240511669606555	481.76179539590294	12616.658978273927	1709.32631035425
0.14539300609279732	0.26737849836756816	4.5634923090512075E-4	0.08335433554248532	478.50272184477046	0.267378498367568	0.08335433554248532	478.50272184477	12589.96434721975	1725.931750213625
0.14749687886230292	0.2630399127310253	4.470379166438837E-4	0.08428987882904329	475.29401074764513	0.2630399127310251	0.08428987882904332	475.2940107476447	12563.782566380272	1742.2304161872028
0.14960075163180853	0.2587843953875157	4.3786644075368325E-4	0.08521193772328971	472.1349125811648	0.2587843953875155	0.0852119377232897	472.1349125811644	12538.101849737408	1758.228950616221
0.15170462440131413	0.2546100437634113	4.288359510330488E-4	0.08612070168085544	469.02466984551535	0.2546100437634111	0.08612070168085541	469.0246698455149	12512.910747014119	1773.9338359495575
0.15380849717081974	0.2505150092512022	4.199473231322086E-4	0.08701635829231988	465.96252040316034	0.250515009251202	0.0870163582923199	465.9625204031599	12488.198131282337	1789.3513976011918
0.15591236994032534	0.2464974954352219	4.1120117965636285E-4	0.08789909321099654	462.94769988950355	0.24649749543522176	0.08789909321099655	462.9476998895031	12463.95318839293	1804.4878068246335
0.15801624270983095	0.24255575637301868	4.025979082814798E-4	0.08876909010697225	459.9794438687808	0.24255575637301854	0.08876909010697223	459.9794438687803	12440.165406734875	1819.3490836774877
0.16012011547933655	0.23868809481834868	3.9413768025711124E-4	0.0896265305597368	457.0569899852447	0.23868809481834855	0.08962653055973682	457.0569899852442	12416.82456664509	1833.9411001654648
0.16411291739067096	0.23154575310189268	3.7847466390723123E-4	0.09121992213818395	451.63389805304456	0.23154575310189254	0.09121992213818397	451.63389805304405	12373.721233993798	1860.9142650317322
0.16810571930200538	0.22465347517680698	3.633246774384979E-4	0.09276993820742795	446.36792212924394	0.22465347517680684	0.09276993820742795	446.3679221292434	12332.126823738352	1886.9758960671866
0.17086882105686543	0.22002485132201183	3.531389297027438E-4	0.09381780637696203	442.81309889657194	0.2200248513220117	0.09381780637696203	442.81309889657143	12304.193350311436	1904.496408145147
0.1736319228117255	0.21550778085539377	3.431952089627219E-4	0.09484584842586888	439.3294761556385	0.21550778085539363	0.09484584842586888	439.32947615563796	12276.933085073922	1921.6091354627886
0.17639502456658554	0.21109911461730035	3.3349135702719876E-4	0.09585443949456464	435.91544939946294	0.21109911461730022	0.09585443949456464	435.91544939946243	12250.32705109321	1938.3251706182514
0.1791581263214456	0.20679581189632953	3.240249089282204E-4	0.0968439483050711	432.5694462468275	0.2067958118963294	0.0968439483050711	432.569446246827	12224.356922667152	1954.6552484751053
0.18192122807630565	0.20259493579093282	3.1479313019775227E-4	0.09781473694884432	429.2899278413326	0.2025949357909327	0.09781473694884432	429.2899278413321	12199.00499761503	1970.6097586180178
0.1846843298311657	0.19849364899305566	3.0579304782136796E-4	0.09876716069793055	426.0753890133362	0.19849364899305555	0.09876716069793055	426.07538901333567	12174.254172072064	1986.198757793748
0.18744743158602575	0.19448920972887448	2.9702147937073084E-4	0.09970156857211342	422.92435850670535	0.19448920972887437	0.09970156857211342	422.92435850670483	12150.087916220538	2001.4319818182666
0.1902105333408858	0.19057896778363148	2.884750615273307E-4	0.10061830323087081	419.8353995342888	0.1905789677836314	0.1006183032308708	419.8353995342883	12126.490250522349	2016.31885690512
0.19297363509574586	0.1867603607018045	2.8015027643627546E-4	0.1015177005621791	416.80711012260974	0.1867603607018044	0.1015177005621791	416.80711012260923	12103.445722993762	2030.868510683761
0.1957367368506059	0.18303091022497286	2.720434748605946E-4	0.1024000903997848	413.83812295218115	0.18303091022497278	0.10240009039978483	413.83812295218064	12080.939387894623	2045.0897830139222
